metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
BERTScore_F1,ch6,Form vs Chat,37,39,440.0,0.0034969569043382877,-0.39015939015939016,medium,Chat > Form,0.8518015112473383,0.8735579836334771,True,False
BERTScore_F1,ch6,Ask vs Chat,37,39,569.0,0.11418394435635856,-0.21136521136521136,small,Chat > Ask,0.8683121180374096,0.8735579836334771,False,False
SBERT_ModernBERT,ch1,Form vs Ask,37,37,524.0,0.08367399556769879,-0.2344777209642075,small,Ask > Form,0.9752354621887208,0.9777936935424804,False,False
SBERT_ModernBERT,ch1,Form vs Chat,37,39,760.5,0.6890719076844279,0.054054054054053946,negligible,Form > Chat,0.9752354621887208,0.9743316769599916,False,False
SBERT_ModernBERT,ch1,Ask vs Chat,37,39,903.0,0.05996556778850522,0.2515592515592515,small,Ask > Chat,0.9777936935424804,0.9743316769599916,False,False
SBERT_ModernBERT,ch2,Form vs Ask,37,37,784.0,0.2844905398548949,0.14536157779401027,small,Form > Ask,0.9810811877250672,0.9784992933273317,False,False
SBERT_ModernBERT,ch2,Form vs Chat,37,39,556.0,0.08638807881443877,-0.22938322938322941,small,Chat > Form,0.9810811877250672,0.982797622680664,False,False
SBERT_ModernBERT,ch2,Ask vs Chat,37,39,485.0,0.014181397184697096,-0.3277893277893278,medium,Chat > Ask,0.9784992933273317,0.982797622680664,True,False
SBERT_ModernBERT,ch3,Form vs Ask,37,37,1160.0,2.8182737385465267e-07,0.6946676406135865,large,Form > Ask,0.982093632221222,0.9735682606697084,True,False
SBERT_ModernBERT,ch3,Form vs Chat,37,39,1236.0,9.205004649313889e-08,0.7130977130977132,large,Form > Chat,0.982093632221222,0.9751412868499756,True,False
SBERT_ModernBERT,ch3,Ask vs Chat,37,39,712.0,0.9254803660684465,-0.013167013167013186,negligible,Chat > Ask,0.9735682606697084,0.9751412868499756,False,False
SBERT_ModernBERT,ch4,Form vs Ask,37,37,831.0,0.11447334260713284,0.21402483564645736,small,Form > Ask,0.9716208577156068,0.9682355523109436,False,False
SBERT_ModernBERT,ch4,Form vs Chat,37,39,809.0,0.36591940299338566,0.1212751212751213,small,Form > Chat,0.9716208577156068,0.9739231467247008,False,False
SBERT_ModernBERT,ch4,Ask vs Chat,37,39,675.0,0.6326126272884234,-0.0644490644490644,negligible,Chat > Ask,0.9682355523109436,0.9739231467247008,False,False
SBERT_ModernBERT,ch5,Form vs Ask,37,37,657.0,0.7703659777462954,-0.04017531044558076,negligible,Ask > Form,0.9442121386528016,0.9440641403198242,False,False
SBERT_ModernBERT,ch5,Form vs Chat,37,39,437.0,0.0031627919474084276,-0.3943173943173943,medium,Chat > Form,0.9442121386528016,0.9542227983474731,True,False
SBERT_ModernBERT,ch5,Ask vs Chat,37,39,516.0,0.033134258284041644,-0.2848232848232848,small,Chat > Ask,0.9440641403198242,0.9542227983474731,False,False
SBERT_ModernBERT,ch6,Form vs Ask,37,37,495.0,0.041025371064876116,-0.2768444119795471,small,Ask > Form,0.9614580273628236,0.9744662046432496,False,False
SBERT_ModernBERT,ch6,Form vs Chat,37,39,434.0,0.0028576071006567003,-0.3984753984753985,medium,Chat > Form,0.9614580273628236,0.9755862951278688,True,False
SBERT_ModernBERT,ch6,Ask vs Chat,37,39,616.0,0.27517831950307736,-0.14622314622314625,small,Chat > Ask,0.9744662046432496,0.9755862951278688,False,False
SBERT_MiniLM,ch1,Form vs Ask,37,37,454.0,0.012899811826169342,-0.3367421475529584,medium,Ask > Form,0.6156090497970581,0.764590322971344,True,False
SBERT_MiniLM,ch1,Form vs Chat,37,39,694.5,0.7830060664031541,-0.037422037422037424,negligible,Chat > Form,0.6156090497970581,0.6428796052932739,False,False
SBERT_MiniLM,ch1,Ask vs Chat,37,39,952.0,0.01683551729232088,0.3194733194733195,medium,Ask > Chat,0.764590322971344,0.6428796052932739,False,False
SBERT_MiniLM,ch2,Form vs Ask,37,37,763.0,0.39908543530758167,0.11468224981738495,small,Form > Ask,0.7671583890914917,0.7615209817886353,False,False
SBERT_MiniLM,ch2,Form vs Chat,37,39,948.0,0.018838561036420242,0.313929313929314,medium,Form > Chat,0.7671583890914917,0.723979115486145,False,False
SBERT_MiniLM,ch2,Ask vs Chat,37,39,846.0,0.19751183787551718,0.17255717255717262,small,Ask > Chat,0.7615209817886353,0.723979115486145,False,False
SBERT_MiniLM,ch3,Form vs Ask,37,37,778.0,0.31469451135815185,0.13659605551497433,small,Form > Ask,0.7786111831665039,0.7640495300292969,False,False
SBERT_MiniLM,ch3,Form vs Chat,37,39,1105.0,6.881782238570618e-05,0.5315315315315314,large,Form > Chat,0.7786111831665039,0.6998416185379028,True,False
SBERT_MiniLM,ch3,Ask vs Chat,37,39,915.0,0.0448821838700519,0.26819126819126815,small,Ask > Chat,0.7640495300292969,0.6998416185379028,False,False
SBERT_MiniLM,ch4,Form vs Ask,37,37,659.0,0.7869492563467438,-0.03725346968590215,negligible,Ask > Form,0.6932883858680725,0.6978575587272644,False,False
